"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0.6",3.46906629092364,-4.3140129547369,1.58606856804175,-2.71994101747015,0.00652935617644163,0.0494219633590763
"64",128.604908992705,-1.08896249060244,0.373668386361948,-2.91424838264919,0.00356546100994749,0.0338652196834872
"3001",2784.30442635293,0.878276711072425,0.322305609829013,2.72498114922158,0.00643051584240841,0.0489756857246526
"22",140.898209048153,-2.65330593981518,0.622368155558027,-4.26324180650949,2.01482280337177e-05,0.00104372388823028
"188",272.828014331375,-1.12659061931366,0.408111588280133,-2.76049652023198,0.00577135728227049,0.0457285241497037
"18",112.771038462014,-2.50665137314497,0.702947615582525,-3.56591489547587,0.000362589031947881,0.00773529536983832
"156",84.6376484554586,2.63228973589053,0.738852046621198,3.5626750280088,0.000367094997431638,0.00779503579729515
"35",13.596202224641,2.12211228525927,0.779612394664926,2.72200942388986,0.00648862920926012,0.0492405549826712
"0.35",4.60427266753093,-4.56900429387357,1.59286574132787,-2.8684177048498,0.00412530502225205,0.0371407747938903
"2.5",8.18967607891554,-3.67263957713251,1.32806701726556,-2.76540229475341,0.00568526335744168,0.0452748099459352
"7.5",29.2289177633282,3.17029556323765,0.825961575018431,3.83830877745966,0.000123884635933813,0.00373023349970252
"25",18.6380149172724,2.01595390484257,0.65440252810601,3.08060225665264,0.00206582405272501,0.0242123147354774
"0.45",6.8511942271555,-4.49660383049284,1.42646177245714,-3.15227783689376,0.00162002046684848,0.020687072903429
"972",884.957651952663,1.5838817847435,0.377432249983322,4.1964664779268,2.71111567553596e-05,0.00127879471158795
"49.1",38.0386227753886,2.06968458174166,0.652767111884387,3.17063244158696,0.00152107475213909,0.019867680416079
"256",134.224816701066,2.28506458143102,0.593305482476842,3.85141322458656,0.000117438143761213,0.00360036744134356
"44",214.636314794631,2.52758991998946,0.83793064015088,3.01646675616771,0.00255739258719603,0.0275794741751337
"9.1",12.0697436553975,2.95931733115163,1.01329317433763,2.92049468613669,0.00349476157018021,0.0334909222141384
"619",1349.7214396205,1.58527920031071,0.581625771896338,2.72559999386212,0.0064184731425335,0.0489247996340892
"454",1253.08977979718,-1.45165541628249,0.47353518210317,-3.06557035495246,0.00217255257374749,0.0250088119414665
"1031",1343.13807444767,1.1125198924946,0.393299454652878,2.82868404553599,0.0046739817647788,0.0401683485938281
"129",68.7914247360839,1.39132636240459,0.397975515160313,3.49600995388907,0.000472271082249135,0.00921488704174059
